MGI Gene/Marker ID,mouseSymbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1333855,Atox1,antioxidant 1 copper chaperone,11,,response to oxidative stress,,,ISO,RGD:621684 ,J:155856 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,cellular response to oxidative stress,,,IGI,MGI:2151208 ,J:219362 
MGI:99400,Atp7a,"ATPase, Cu++ transporting, alpha polypeptide",X,,positive regulation of superoxide dismutase activity,,,IMP,MGI:1856098 ,J:5830 
MGI:99400,Atp7a,"ATPase, Cu++ transporting, alpha polypeptide",X,,removal of superoxide radicals,has the participant aorta,,IMP,MGI:1856097 ,J:105736 
MGI:1922022,Atp13a2,ATPase type 13A2,4,,cellular response to oxidative stress,happens in neuron of cerebral cortex,,IMP,,J:232983 
MGI:1922022,Atp13a2,ATPase type 13A2,4,,cellular response to oxidative stress,,,ISO,Q9NQ11 ,J:164563 
MGI:1341628,Atrn,attractin,2,,response to oxidative stress,,,ISO,RGD:69063 ,J:155856 
MGI:1347244,Axl,AXL receptor tyrosine kinase,7,,cellular response to hydrogen peroxide,,,ISO,RGD:620028 ,J:155856 
MGI:1917619,Bag5,BCL2-associated athanogene 5,12,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,Q9UL15 ,J:164563 
MGI:108091,Bcar1,breast cancer anti-estrogen resistance 1,8,,cellular response to nitric oxide,,,ISO,RGD:2406 ,J:155856 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IMP,,J:86240 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,response to hydrogen peroxide,has the participant myeloid cell,,IMP,,J:86240 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,response to oxidative stress,has the participant myeloid cell,,IMP,,J:86240 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,cellular response to oxidative stress,,,ISO,RGD:2213 ,J:155856 
MGI:109326,Bnip3,BCL2/adenovirus E1B interacting protein 3,7,,cellular response to hydrogen peroxide,,,ISO,RGD:620800 ,J:155856 
MGI:1913903,Brf2,"BRF2, RNA polymerase III transcription initiation factor 50kDa subunit",8,,cellular response to oxidative stress,,,ISO,Q9HAW0 ,J:164563 
MGI:88216,Btk,Bruton agammaglobulinemia tyrosine kinase,X,,cellular response to reactive oxygen species,,,ISO,RGD:1359683 ,J:155856 
MGI:88259,Camk2g,calcium/calmodulin-dependent protein kinase II gamma,14,,response to oxidative stress,,,ISO,RGD:621802 ,J:155856 
MGI:88263,Capn1,calpain 1,19,,cellular response to hydrogen peroxide,,,ISO,RGD:2267 ,J:155856 
MGI:88270,Car3,carbonic anhydrase 3,3,,response to oxidative stress,,,ISO,RGD:2241 ,J:155856 
MGI:107739,Casp3,caspase 3,8,,response to hydrogen peroxide,,,ISO,RGD:2275 ,J:155856 
MGI:1312921,Casp6,caspase 6,3,,response to hydrogen peroxide,,,ISO,RGD:70967 ,J:155856 
MGI:88271,Cat,catalase,2,,response to hydrogen peroxide,,,IBA,PTN000157250 ,J:265628 
MGI:88271,Cat,catalase,2,,response to oxidative stress,,,IDA,,J:118189 
MGI:88271,Cat,catalase,2,,response to oxidative stress,,,IMP,MGI:3051232 ,J:91752 
MGI:88271,Cat,catalase,2,,response to oxidative stress,,,ISO,RGD:2279 ,J:155856 
MGI:88271,Cat,catalase,2,,response to reactive oxygen species,,,ISO,RGD:2279 ,J:155856 
MGI:88271,Cat,catalase,2,,response to reactive oxygen species,,,ISO,P04040 ,J:164563 
MGI:1346316,Ccl19,chemokine (C-C motif) ligand 19,4,,response to nitric oxide,,,ISO,Q99731 ,J:164563 
MGI:103011,Ccr7,chemokine (C-C motif) receptor 7,11,,response to nitric oxide,,,TAS,,J:175178 
MGI:1333783,Ccs,copper chaperone for superoxide dismutase,19,,removal of superoxide radicals,,,IBA,PTN000000113 ,J:265628 
MGI:107899,Cd36,CD36 molecule,5,,cellular response to hydroperoxide,,,IMP,,J:166919 
MGI:107899,Cd36,CD36 molecule,5,,regulation of removal of superoxide radicals,,,IMP,,J:166919 
MGI:107899,Cd36,CD36 molecule,5,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,IC,GO:0000122 ,J:166919 
MGI:107474,Cd38,CD38 antigen,5,,response to hydroperoxide,,,ISO,RGD:2303 ,J:155856 
MGI:104738,Cdkn2a,cyclin dependent kinase inhibitor 2A,4,,cellular response to hydrogen peroxide,,,IDA,,J:198334 
MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,cellular response to hydrogen peroxide,,,ISO,RGD:69285 ,J:155856 
MGI:1336166,Cflar,CASP8 and FADD-like apoptosis regulator,1,,cellular response to nitric oxide,,,ISO,RGD:620847 ,J:155856 
MGI:1919420,Chchd4,coiled-coil-helix-coiled-coil-helix domain containing 4,6,,cellular response to oxidative stress,,,IDA,,J:201969 
MGI:1918639,Chd6,chromodomain helicase DNA binding protein 6,2,,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,Q8TD26 ,J:164563 
MGI:87888,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",2,,response to oxidative stress,,,ISO,P43681 ,J:164563 
MGI:99484,Chuk,conserved helix-loop-helix ubiquitous kinase,19,,cellular response to reactive oxygen species,,,ISO,O15111 ,J:164563 
MGI:1349447,Cln8,CLN8 transmembrane ER and ERGIC protein,8,,age-dependent response to oxidative stress,has the participant retina,,IMP,MGI:1856959 ,J:90947 
MGI:1915270,Coa8,cytochrome c oxidase assembly factor 8,12,,response to reactive oxygen species,,,IDA,,J:277865 
MGI:1915270,Coa8,cytochrome c oxidase assembly factor 8,12,,response to reactive oxygen species,,,ISO,Q96IL0 ,J:164563 
MGI:107207,Coq7,demethyl-Q 7,7,,age-dependent response to oxidative stress,,,IMP,MGI:2157003 ,J:152626 
MGI:107207,Coq7,demethyl-Q 7,7,,cellular response to oxidative stress,,,IMP,MGI:2157003 ,J:142006 
MGI:107207,Coq7,demethyl-Q 7,7,,response to oxidative stress,,,IGI,MGI:98352 ,J:152626 
MGI:107207,Coq7,demethyl-Q 7,7,,response to oxidative stress,,,IMP,MGI:2157003 ,J:152626 
MGI:2442640,Cpeb2,cytoplasmic polyadenylation element binding protein 2,5,,cellular response to oxidative stress,,,IDA,,J:181762 
MGI:88508,Crk,v-crk avian sarcoma virus CT10 oncogene homolog,11,,cellular response to nitric oxide,,,ISO,RGD:2405 ,J:155856 
MGI:88508,Crk,v-crk avian sarcoma virus CT10 oncogene homolog,11,,response to hydrogen peroxide,,,ISO,RGD:2405 ,J:155856 
MGI:88515,Cryaa,"crystallin, alpha A",17,,response to hydrogen peroxide,,,IMP,MGI:1858025 ,J:121617 
MGI:88515,Cryaa,"crystallin, alpha A",17,,response to hydrogen peroxide,,,ISO,RGD:2413 ,J:155856 
MGI:88516,Cryab,"crystallin, alpha B",9,,response to hydrogen peroxide,,,IMP,MGI:2652177 ,J:121617 
MGI:88524,Crygd,"crystallin, gamma D",1,,cellular response to reactive oxygen species,,,ISO,P07320 ,J:164563 
MGI:102519,Cst3,cystatin C,2,,response to oxidative stress,,,ISO,RGD:2432 ,J:155856 
MGI:88276,Ctnnb1,"catenin (cadherin associated protein), beta 1",9,,negative regulation of oxidative stress-induced neuron death,regulates a function/process that happens in midbrain dopaminergic neuron,,IMP,,J:231273 
MGI:2149481,Cygb,cytoglobin,11,,response to oxidative stress,,,ISO,RGD:69415 ,J:155856 
MGI:2149481,Cygb,cytoglobin,11,,response to oxidative stress,,,ISS,Q921A4 ,J:114057 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,cellular response to hydrogen peroxide,,,IMP,,J:205425 
MGI:88590,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",17,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IMP,,J:197371 J:205425 
MGI:88582,Cyp11a1,"cytochrome P450, family 11, subfamily a, polypeptide 1",9,,response to hydrogen peroxide,,,ISO,RGD:69325 ,J:155856 
MGI:1916885,Dapk1,death associated protein kinase 1,13,,cellular response to hydroperoxide,,,ISO,P53355 ,J:164563 
MGI:1921291,Ddias,DNA damage-induced apoptosis suppressor,7,,cellular response to hydroperoxide,happens in fibroblast,,IMP,,J:123623 
MGI:3580254,Dgkk,diacylglycerol kinase kappa,X,,response to oxidative stress,,,ISO,Q5KSL6 ,J:164563 
MGI:94890,Dhfr,dihydrofolate reductase,13,,regulation of removal of superoxide radicals,happens in endothelial cell,,IMP,,J:222680 
MGI:1913843,Diablo,"diablo, IAP-binding mitochondrial protein",5,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IBA,PTN001283560 ,J:265628 
MGI:1913843,Diablo,"diablo, IAP-binding mitochondrial protein",5,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IDA,,J:100137 
MGI:95281,Ect2,ect2 oncogene,3,,cellular response to hydrogen peroxide,,,ISO,Q9H8V3 ,J:164563 
MGI:95294,Egfr,epidermal growth factor receptor,11,,cellular response to reactive oxygen species,,,ISO,P00533 ,J:164563 
MGI:1932286,Egln1,egl-9 family hypoxia-inducible factor 1,8,,response to nitric oxide,,,ISO,Q9GZT9 ,J:164563 
MGI:95299,Eif2s1,"eukaryotic translation initiation factor 2, subunit 1 alpha",12,,cellular response to oxidative stress,,,IMP,,J:259116 
MGI:1261433,Endog,endonuclease G,2,,positive regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,RGD:1310763 ,J:155856 
MGI:109169,Epas1,endothelial PAS domain protein 1,17,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,regulates Sod2|regulates Sod1|regulates Gpx1|regulates Cat,,IDA,,J:86736 
MGI:109169,Epas1,endothelial PAS domain protein 1,17,NOT,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,regulates a function/process that happens in fibroblast,,IGI,MGI:106918 ,J:84384 
MGI:109169,Epas1,endothelial PAS domain protein 1,17,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,regulates Epo,,IMP,MGI:3710344 ,J:119731 
MGI:109169,Epas1,endothelial PAS domain protein 1,17,,response to oxidative stress,,,IGI,MGI:98352 ,J:121138 
MGI:109169,Epas1,endothelial PAS domain protein 1,17,,response to oxidative stress,,,IMP,MGI:1861921 ,J:86736 
MGI:95408,Epor,erythropoietin receptor,9,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,RGD:2560 ,J:155856 
MGI:107569,Epx,eosinophil peroxidase,11,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:95412,Ercc1,"excision repair cross-complementing rodent repair deficiency, complementation group 1",7,,response to oxidative stress,,,ISO,P07992 ,J:164563 
MGI:95413,Ercc2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",7,,response to oxidative stress,,,IBA,PTN000158239 ,J:265628 
MGI:95413,Ercc2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",7,,response to oxidative stress,,,IMP,MGI:2183949 ,J:76608 
MGI:95413,Ercc2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",7,,response to oxidative stress,,,ISO,P18074 ,J:164563 
MGI:95414,Ercc3,"excision repair cross-complementing rodent repair deficiency, complementation group 3",18,,response to oxidative stress,,,ISO,P19447 ,J:164563 
MGI:1100494,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",14,,response to oxidative stress,,,IMP,MGI:1932102 ,J:81189 
MGI:1100494,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",14,,response to oxidative stress,,,ISO,Q03468 ,J:73065 
MGI:1100494,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",14,,response to superoxide,,,IMP,MGI:1932102 ,J:92778 
MGI:1923501,Ercc6l2,"excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2",13,,cellular response to reactive oxygen species,,,ISO,Q5T890 ,J:164563 
MGI:1919241,Ercc8,"excision repaiross-complementing rodent repair deficiency, complementation group 8",13,,response to oxidative stress,,,ISO,Q13216 ,J:164563 
MGI:106100,Etfdh,"electron transferring flavoprotein, dehydrogenase",3,,response to oxidative stress,,,IDA,,J:150919 
MGI:1096867,Etv5,ets variant 5,16,,cellular response to oxidative stress,,,ISO,P41161 ,J:164563 
MGI:107940,Ezh2,enhancer of zeste 2 polycomb repressive complex 2 subunit,6,,cellular response to hydrogen peroxide,,,IDA,,J:198334 
MGI:95479,Fabp1,"fatty acid binding protein 1, liver",6,,cellular response to hydrogen peroxide,,,ISO,P07148 ,J:164563 
MGI:95480,Fancc,"Fanconi anemia, complementation group C",13,,cellular response to oxidative stress,,,IBA,PTN000423656 ,J:265628 
MGI:95480,Fancc,"Fanconi anemia, complementation group C",13,,cellular response to oxidative stress,"happens in neuronal stem cell,happens in brain",,IGI,MGI:1890081 ,J:226736 
MGI:95480,Fancc,"Fanconi anemia, complementation group C",13,,removal of superoxide radicals,,,IGI,MGI:98351 ,J:71134 
MGI:2448480,Fancd2,"Fanconi anemia, complementation group D2",6,,cellular response to oxidative stress,"happens in neuronal stem cell,happens in brain",,IGI,MGI:1890081 ,J:226736 
MGI:1346091,Fbln5,fibulin 5,12,,regulation of removal of superoxide radicals,,,IMP,,J:103848 
MGI:1917004,Fbxo7,F-box protein 7,10,,negative regulation of hydrogen peroxide-induced neuron death,,,ISO,Q9Y3I1 ,J:164563 
MGI:1917004,Fbxo7,F-box protein 7,10,,negative regulation of oxidative stress-induced neuron death,,,IBA,PTN001036668 ,J:265628 
MGI:1917004,Fbxo7,F-box protein 7,10,,negative regulation of oxidative stress-induced neuron death,,,ISO,Q9Y3I1 ,J:164563 
MGI:1354695,Fbxw7,F-box and WD-40 domain protein 7,3,,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,IMP,,J:204747 
MGI:1354695,Fbxw7,F-box and WD-40 domain protein 7,3,,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q969H0 ,J:164563 
MGI:105917,Fer,fer (fms/fps related) protein kinase,17,,cellular response to reactive oxygen species,,,IMP,,J:125059 
MGI:99604,Fgf8,fibroblast growth factor 8,19,,response to oxidative stress,,,ISO,RGD:70891 ,J:155856 
MGI:95574,Fos,FBJ osteosarcoma oncogene,12,,cellular response to reactive oxygen species,,,ISO,P01100 ,J:164563 
MGI:1890077,Foxo1,forkhead box O1,3,,cellular response to nitric oxide,,,IDA,,J:187559 
MGI:1890077,Foxo1,forkhead box O1,3,,cellular response to oxidative stress,,,IDA,,J:185464 
MGI:1890081,Foxo3,forkhead box O3,10,,cellular response to oxidative stress,,,IDA,,J:210910 
MGI:1890081,Foxo3,forkhead box O3,10,,cellular response to oxidative stress,"happens in neuronal stem cell,happens in brain",,IGI,MGI:2448480 MGI:95480 ,J:226736 
MGI:1890081,Foxo3,forkhead box O3,10,,positive regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,RGD:1309196 ,J:155856 
MGI:1914004,Foxp1,forkhead box P1,6,,positive regulation of hydrogen peroxide-induced cell death,,,ISO,RGD:1308669 ,J:155856 
MGI:1858901,Fut8,fucosyltransferase 8,12,,regulation of cellular response to oxidative stress,,,IMP,,J:217242 
MGI:1096879,Fxn,frataxin,19,,cellular response to hydrogen peroxide,,,ISO,Q16595 ,J:164563 
MGI:95602,Fyn,Fyn proto-oncogene,10,,negative regulation of oxidative stress-induced cell death,,,ISO,RGD:2641 ,J:155856 
MGI:95602,Fyn,Fyn proto-oncogene,10,,response to hydrogen peroxide,,,ISO,RGD:2641 ,J:155856 
MGI:95602,Fyn,Fyn proto-oncogene,10,,response to singlet oxygen,,,ISO,RGD:2641 ,J:155856 
MGI:1196625,Fzd1,frizzled class receptor 1,5,,negative regulation of oxidative stress-induced neuron death,regulates a function/process that happens in midbrain dopaminergic neuron,,IMP,,J:231273 
MGI:105979,G6pdx,glucose-6-phosphate dehydrogenase X-linked,X,,cellular response to oxidative stress,,,ISO,P11413 ,J:164563 
MGI:105979,G6pdx,glucose-6-phosphate dehydrogenase X-linked,X,,response to oxidative stress,,,IMP,MGI:2182739 ,J:79386 J:95754 J:99289 J:102347 J:116392 
MGI:105979,G6pdx,glucose-6-phosphate dehydrogenase X-linked,X,,response to oxidative stress,,,IMP,MGI:2387672 ,J:79389 
MGI:108088,Gab1,growth factor receptor bound protein 2-associated protein 1,8,,response to oxidative stress,,,IDA,,J:83953 
MGI:95664,Gata4,GATA binding protein 4,14,,negative regulation of oxidative stress-induced cell death,happens in cardiac muscle cell,,IDA,,J:232979 
MGI:95675,Gch1,GTP cyclohydrolase 1,14,,regulation of removal of superoxide radicals,,,ISO,P30793 ,J:164563 
MGI:104990,Gclc,"glutamate-cysteine ligase, catalytic subunit",9,,response to oxidative stress,,,ISO,RGD:619868 ,J:155856 
MGI:104990,Gclc,"glutamate-cysteine ligase, catalytic subunit",9,,response to oxidative stress,,,ISO,P48506 ,J:164563 
MGI:104995,Gclm,"glutamate-cysteine ligase, modifier subunit",3,,response to oxidative stress,has the participant fibroblast,,IMP,MGI:2447852 ,J:80927 
MGI:104995,Gclm,"glutamate-cysteine ligase, modifier subunit",3,,response to oxidative stress,,,ISO,RGD:619871 ,J:155856 
MGI:104995,Gclm,"glutamate-cysteine ligase, modifier subunit",3,,response to oxidative stress,,,ISO,P48507 ,J:164563 
MGI:107757,Gfer,"growth factor, augmenter of liver regeneration",17,,negative regulation of oxidative stress-induced neuron death,,,ISO,RGD:61845 ,J:155856 
MGI:1913385,Ggt7,gamma-glutamyltransferase 7,2,,negative regulation of response to oxidative stress,,,ISO,Q9UJ14 ,J:164563 
MGI:95714,Gja3,"gap junction protein, alpha 3",14,,response to hydrogen peroxide,,,ISO,RGD:621820 ,J:155856 
MGI:2135625,Glrx,glutaredoxin,13,,negative regulation of hydrogen peroxide-mediated programmed cell death,,,ISO,RGD:70951 ,J:155856 
MGI:1916617,Glrx2,glutaredoxin 2 (thioltransferase),1,,response to hydrogen peroxide,,,ISO,Q9NS18 ,J:164563 
MGI:1313297,Gpr37,G protein-coupled receptor 37,6,,negative regulation of hydrogen peroxide-induced cell death,,,IMP,,J:213894 
MGI:1928503,Gpr37l1,G protein-coupled receptor 37-like 1,1,,negative regulation of hydrogen peroxide-induced cell death,,,IMP,,J:213894 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IMP,MGI:2158814 ,J:72598 J:105089 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,regulates a function/process that happens in endothelial cell,,IMP,MGI:2158814 ,J:118088 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to hydrogen peroxide,,,IBA,PTN002613004 ,J:265628 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to hydrogen peroxide,has the participant endothelial cell,,IMP,MGI:2158814 ,J:118088 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to hydrogen peroxide,has the participant fibroblast,,IMP,MGI:2388705 ,J:87985 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to hydrogen peroxide,,,ISO,P07203 ,J:164563 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to hydroperoxide,has the participant retina,,IMP,MGI:2388705 ,J:111894 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to oxidative stress,,,IGI,MGI:104887 MGI:98352 ,J:90710 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to oxidative stress,,,IMP,MGI:2158814 ,J:59142 J:75857 J:90710 J:111478 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to oxidative stress,has the participant liver,,IMP,MGI:2158814 ,J:56648 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to oxidative stress,has the participant brain,,IMP,MGI:2158814 ,J:115327 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to oxidative stress,has the participant myoblast,,IMP,MGI:2158814 ,J:112583 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to reactive oxygen species,,,IMP,MGI:2158814 ,J:72598 J:118088 
MGI:104887,Gpx1,glutathione peroxidase 1,9,,response to reactive oxygen species,happens in brain,,IMP,MGI:2158814 ,J:115327 
